Exio prod code,nace-related code,description,unit,AT,AU,BE,BG,BR,CA,CH,CN,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,Global,HR,HU,ID,IE,IN,IT,JP,KR,LT,LU,LV,MT,MX,NL,NO,PL,PT,RO,RU,SE,SI,SK,TR,TW,US,WA,WE,WF,WL,WM,ZA
M_Ricey,01.a,"Rice, paddy, market of",tonnes,2.339320209,1.3524201220857057,2.392973854791121,2.2511253036333545,1.0897235374266259,2.061003114,2.193067707770375,2.3567628219509156,1.3965211448804309,2.131370229999202,2.450879954867481,2.379877350672996,2.148040366029126,1.671705799175125,1.6713409505862484,2.5283196535872468,1.927478250451958,1.3024960893862285,2.3769881165456903,2.3024706314457632,2.8653460414233516,2.013149261991153,1.9432188854407948,2.5343530149945908,2.104261939922612,2.220050444225561,2.028358453373708,2.0733047142135907,2.407667340582957,1.6609783327364165,1.9803450988539064,1.8905724619514022,2.221599514601044,2.1360154465756724,2.231683637348997,1.9635514412610728,2.6289808997332385,2.605784805021037,2.128615059,2.3470434614271745,2.2080012575264334,1.8618523798634903,0.1533385031628111,1.9922766572589756,2.466847381683995,2.523188718508018,2.6594162466491778,2.271857541480806,2.250282199743784,4.373447259
A_Ricey,01.a,"Rice, paddy",tonnes,,1.3522223156471025,,2.289672772,1.0792369471082073,,,2.356756310633397,,,,,,1.6607975533095052,,2.582545280429996,,1.3012121913272097,,,2.876400374722666,2.0131297196873232,,2.534353548273449,2.1012794415958758,2.220050456991369,2.0283584185131924,,,,,1.588921812619433,,,,2.013731927091364,2.667575824,2.605911636948906,,,,1.7765115441386945,0.1533319890956447,1.9922714034046052,2.4668278566823894,2.5241479984563355,2.660934177659218,2.303723886874532,2.2499521848473063,4.782892595760642
M_Wheat,01.b,"Wheat, market of",tonnes,0.7119062385734084,0.6987901082525577,0.8433906166799275,0.713130059,1.0704236058269907,0.847777355,0.8478860062640221,1.3312543912203132,1.2888215283693185,0.9226330477333758,0.7441796471725656,0.7003828327723278,1.3770210188764038,0.734933315,1.1593106572578271,0.9229179662197676,0.8491995847226386,0.7379662088588237,0.9864879182506203,0.6945550253964978,0.5557399441355372,0.8068893619730537,0.6521182868760832,0.7777897111800925,0.9503091668904646,1.0384185473051428,0.8489642947395881,0.8198360265076586,0.8243122569935067,1.128205879558079,0.8084026779176797,0.902159085,0.8149796183134925,0.8460687256445569,0.9306193747491929,0.9075329719408546,0.5873290887501101,0.7458707787962827,0.8784220624369372,0.7718539859011698,0.6334385292571117,0.8698708463563123,1.005540004097831,1.0700477189542725,1.4308766269423911,0.7207438439602294,0.7932677560779596,0.9730814485213938,0.7144007449112111,0.7960728937042347
A_Wheat,01.b,Wheat,tonnes,0.7110524757045094,0.6987896676330727,0.8565572640151187,0.7133762851405833,1.141080959361604,0.8473301008505741,0.9780988327421496,1.3418696920021564,12.928792820333136,0.9281207198737804,0.7136703130154227,0.6903683146091646,1.388353516605817,0.6554661842213618,1.161018214513862,0.9297643320726916,0.8487831413081632,0.7533480337462359,,0.6998695752796166,0.5525331445831284,,0.5330443303214754,0.7795335563124394,1.091062899960165,1.8251157807998903,2.7771348076360045,0.8126983894290598,0.8219153666466051,1.2547037213581769,0.8374377702418423,0.8180779689682189,0.620054964,0.872336299,0.9406739957640248,1.5616940910113903,0.5675795999206148,0.7407223541993821,0.8622129146050367,0.8849674976797945,0.6303242250449664,0.8889020572174531,0.2777689322314658,1.0775751776508675,1.6887508803753994,0.7214036263892694,0.648932496,0.9835076884910124,0.6666508048376253,0.7681531226380826
A_Germt,01.b,"Germ, wheat",tonnes,0.2892709287381141,0.5562308229753063,0.5357798833479841,4.923058823,,0.5311163608563694,0.068700772,0.4629086449504667,,0.5782461716684264,0.0780256,0.4637742152806636,0.3523096464121213,,0.2914956111324182,0.4980217472311894,1.303860207452888,0.041941853,,0.3121270418176486,0.3903517903407342,0.064613895,,0.2028556832667486,0.7343386795444851,,,0.2421999369505215,0.7800808039706901,0.3670995209116733,1.242757724306321,0.4231221417483405,0.9515423062271418,0.3857782970380118,0.9980561448949028,0.542048981,0.1888245089499998,,,0.4864334530020949,0.3660505363570907,0.3814321787022999,0.044102693,,0.2252177858749726,1.3429604554240346,0.1395673965710663,11.577928783773489,0.5031008448044589,0.9140340160931636
M_Germt,01.b,"Germ, wheat, market of",tonnes,0.2860681624084952,0.5561990154494751,0.6034473982430483,4.921983747449668,,0.5310989075177782,0.091624901,0.4629400019912907,1.303860207452888,0.5781992074484757,0.085927274,0.46327729185288397,0.3518987180875642,1.2689047175778574,0.2912020768818677,0.4966157026776929,1.2906133149605137,0.046711624337678594,0.5712929722526952,0.3121208536332239,0.3903393784044085,0.064613903,1.1884524910521963,0.20285567375196598,0.7338839814894492,0.0780256,0.9140340160931636,0.24223097814902234,0.7780558852273052,0.36317710737553616,1.2427141844388472,0.4231221417483405,1.114784260651218,0.38577409791395323,0.976726454,0.6589613051282777,0.18907021767849133,1.2884651993013267,0.48357416124021874,0.48622194422341014,0.3661048461488671,0.38658749866174585,0.044102877,0.34059201748032686,0.225229764,1.3425781120151226,0.1395781458068615,11.572448648015843,0.5029331588084539,0.9123233282537044
A_Ryee,01.c,Rye,tonnes,0.4193925328286019,1.4132766343011536,0.8479101600537027,0.8074111610327585,1.6440050205976826,0.3696328805467644,0.8680531339029369,0.8793254810280348,,0.9111154987861898,0.6801453422563786,0.4306017411589878,1.1526342562316405,0.7818220104649756,1.092276709920874,1.0198110209104192,1.4725053684877585,0.688603286,,0.7928053506334156,0.623857513,,0.9440009410056368,,1.1455628993892528,,5.575255669619493,1.0678430700537942,0.6712643038878916,1.1240757400585173,,2.720190124608575,0.7363203134765094,0.5949889980238916,1.129409598114771,3.3749755122586733,0.5635033215375188,0.2750960193269163,0.566257419,0.8954015858029404,0.6715222562635202,0.5114833168932019,,0.9098487302472202,1.5325926446755118,1.1361136224510238,0.2592094937530396,1.4308093248906788,0.7501553849034741,0.6622643168514332
M_Graid,01.c,"Grain, mixed, market of",tonnes,1.0304487454632119,,1.9671099881579814,1.0719809015299637,,1.1411536653663732,1.0801637542437752,1.4814992451580113,1.798322844919223,2.0122126795628184,1.2846136821788725,0.9815343056213061,1.8406734052194107,0.9813089508634487,1.965895669693381,1.6286309884722652,0.5410717486276242,0.7850380250873138,1.7269757598207698,1.3996922181767313,1.590624970820989,,1.9345956047361375,1.9720470830671328,1.4317484644971943,,,1.6184813132437073,1.302676255681402,3.868458885265507,0.9176901660236261,,1.940178773307231,1.2682175765018715,1.8120076199984163,1.2682175765018715,1.2359493508417936,,1.4121391600542135,1.3515185728213241,1.0400426909285467,0.8006358031656349,,1.5497493791279762,0.46366462177248957,1.139493637886374,1.9720470830671328,1.2682175765018713,1.9615538141792082,
M_Barly,01.c,"Barley, market of",tonnes,0.6848368631636497,0.7255103634817929,0.8663482107809246,0.5325841568987333,0.6372537290641135,0.8913321121403314,0.8453956585981632,0.8277744353426228,1.3747814776329574,1.1707142298806144,0.7971277080616557,0.672804095,1.6018869420406319,0.8296593716365246,1.4445019637539214,0.9071309263007455,0.7150633412493307,0.674477584,0.8069137479944247,0.9348345384651442,0.6892022716335787,0.7671914512246514,0.6836256542079777,0.5420261946225715,1.2487453154289552,1.2123504185857845,3.2421784507892744,1.1133793514061094,1.2071758925124096,1.6821292561915933,0.9521766314835802,1.7845566794562466,0.84228775,1.0484251142426664,1.4001033230150142,0.9363212394040115,0.6155369941669855,0.5934392662058037,0.8659250904441311,1.1098994520849539,0.7833537537515167,0.7889006864405834,0.7687781859644328,0.9597495232111778,0.9891398669377578,0.690528528,0.6081203281857612,0.6429975755610903,0.7579612713205233,0.6628545062882047
M_Trite,01.c,"Triticale, market of",tonnes,0.7468232913521898,0.8669746348342805,0.9255453600615505,0.619276514,1.1423557619587363,0.8437944098200425,0.9104342834099948,1.7230727182562497,0.7154008701811266,1.2933214583583743,0.7806721929020579,0.7662539471792017,1.1513156565630596,0.9493577209164964,1.0585989574109331,0.6327205790056691,0.7032791216948588,0.6504261635646315,0.9759722270517479,0.8501848546788942,0.6678615985638243,,0.6650559149074092,,0.9591048572711652,0.8669746348342806,,0.8884717184359618,1.088796898550503,1.42205863,0.9749205535944947,1.2142309307159054,0.7388651734583404,0.8520062864061323,1.203207606255352,2.200959520698728,0.5067306776025133,0.4449123791008642,0.8611693271447669,0.9291418643205098,0.7388924615081214,0.6171882652654347,,0.843993992,0.5820672868000364,1.2854677570966233,0.14216617359708605,0.3753521393611376,1.075456295929013,0.1420417889370179
